,Age,Role,Gender,Level,Awareness of use,Frequency if use (How often ),Affected learning,Effectiveness in understanding,Do you believe,Rate quality,Benefits,Challenges,How supportive,Familiar,Rate,BenefitS perceive,Concerns,Recommendations,Comments or Suggestions
16,18-25,Student,Male,Degree,Yes,Daily,Somewhat improved,1.0,Agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Privacy concerns,Supportive,2.0,2.0,Enhances personalized learning;Provides innovative teaching tools,Privacy issues;Dependence on technology,More further studies on other courses like  cultures,There should be abundant research in different diversities
17,18-25,Student,Male,Degree,Yes,Weekly,Somewhat improved,5.0,Agree,2.0,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Technical issues,Strongly supportive,3.0,3.0,Enhances personalized learning;Facilitates student engagement,Academic integrity;Dependence on technology,none,none
18,18-25,Student,Male,Degree,Yes,Daily,Somewhat improved,1.0,Agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information,Neutral,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Dependence on technology,Public education on AI essentials,
19,18-25,Student,Male,Degree,Yes,Weekly,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Job displacement for educators;Dependence on technology,"I don’t have any suggestion yet but I am of the belief that AI is going to get better with time.
If only and only AI could be offline",
20,26-35,Student,Male,Degree,Yes,Daily,Somewhat improved,1.0,Agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,3.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,,There is much similarity with your varables.
21,18-25,Student,Male,Degree,Yes,Daily,Significantly improved,1.0,Disagree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,It should fine tuned for education only,Educational Institutions should integrate genAI in the tertiary sector
22,36-45,Educator,Female,Masters,Yes,Weekly,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity,Al application should be fine tune for a particular task,It would enhance academic performance
23,46-55,Educator,Male,Masters,Yes,Daily,Somewhat improved,2.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience,Reliability of information;Privacy concerns,Neutral,2.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Academic integrity;Dependence on technology,It should be used responsibly and ethically,It would enhanced teaching and learning
24,56 and above,Educator,Female,Masters,Yes,Weekly,Somewhat improved,3.0,Neutral,3.0,Accessibility to diverse resources,Technical issues;Reliability of information,Neutral,1.0,3.0,Over dependence on technology,Academic integrity;Job displacement for educators;Dependence on technology,It should follow academic policies,It  might help
25,26-35,Non teaching staff,Female,HND,No,Never,No change,3.0,Neutral,3.0,No idea,Privacy concerns,Neutral,4.0,2.0,Over reliance on technology,Privacy issues;Dependence on technology,It be should be user friendly,"If properly integrated, it might improve academic performance"
26,18-25,Student,Male,PHD,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,It should be used ethically
27,46-55,Educator,Female,Masters,Yes,Weekly,Somewhat improved,2.0,Agree,3.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,2.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Dependence on technology,Nope,It should be used responsibly
28,56 and above,Educator,Female,Masters,No,Never,No change,3.0,Strongly disagree,5.0,,Reliability of information;Privacy concerns,Strongly unsupportive,5.0,5.0,Over reliance on technology,Dependence on technology,It should not be integrated,Over reliance on technology by students
29,36-45,Educator,Male,PHD,Yes,Rarely,Somewhat improved,2.0,Agree,3.0,Increased engagement in learning;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,It should fine tune on a specific task,It would enhance teaching and learning
30,26-35,Student,Male,Degree,Yes,Weekly,Significantly improved,2.0,Agree,1.0,Improved understanding of subjects;Increased engagement in learning,,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Academic integrity;Dependence on technology,It should be build based a specific subject,"AI is here to stay and improve our life, so it should be embraced"
31,46-55,Educator,Female,Masters,Yes,Daily,Somewhat improved,2.0,Agree,2.0,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,1.0,1.0,Enhances personalized learning;Facilitates student engagement,Academic integrity;Dependence on technology,No idea,It would enhance effective teaching and learning
32,18-25,Student,Female,Degree,Yes,Monthly,No change,2.0,Neutral,2.0,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information,Neutral,2.0,3.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Dependence on technology;It go kill human ,no no,
33,26-35,Student,Male,Degree,,,,,,,,,,,,,,,
34,56 and above,Educator,Female,Masters,No,Never,No change,3.0,Neutral,3.0,No idea,No idea,Neutral,5.0,5.0,No,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,It should not be use,It is going to affect critical thinking amount students 
35,46-55,Educator,Male,PHD,No,Monthly,Somewhat worsened,4.0,Disagree,4.0,Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Neutral,4.0,4.0,Facilitates student engagement,Privacy issues;Academic integrity,,
36,56 and above,Non teaching staff,Male,Masters,Yes,Weekly,Significantly improved,2.0,Agree,3.0,Personalized learning experience,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Supportive,3.0,3.0,Provides innovative teaching tools,Job displacement for educators,,
37,26-35,Student,Female,PHD,,,,,,,,,,,,,,,
38,18-25,Student,Male,Degree,Yes,Weekly,Somewhat improved,2.0,Agree,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Academic integrity,There should ethics on the use of AI,It is going to improve teaching and learning
39,36-45,Educator,Female,PHD,Yes,Weekly,Somewhat improved,1.0,Agree,3.0,Increased engagement in learning;Personalized learning experience,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators,It should be fine tune on a specific subject,It would improve teaching and learning
40,46-55,Educator,Female,PHD,Yes,Rarely,Somewhat improved,2.0,Neutral,3.0,Increased engagement in learning;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,2.0,1.0,Enhances personalized learning;Provides innovative teaching tools,Academic integrity;Dependence on technology,Implement policies ,It would save time 
41,18-25,Educator,Female,Masters,Yes,Daily,Significantly improved,2.0,Disagree,5.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,1.0,2.0,Enhances personalized learning;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No,It would have a positive impact 
42,56 and above,Educator,Female,Masters,No,Never,No change,3.0,Neutral,5.0,Increased engagement in learning;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,5.0,3.0,Enhances personalized learning;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No,It should not be integrated
43,46-55,Educator,Female,Masters,Yes,Rarely,Somewhat improved,3.0,Disagree,4.0,Somehow ,Reliability of information,Neutral,2.0,3.0,Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Dependence on technology,No idea ,It might help 
44,18-25,Student,Female,PHD,Yes,Daily,Significantly improved,1.0,Strongly agree,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,,It would enhance teaching and learning 
45,18-25,Student,Male,PHD,,Monthly,Somewhat improved,1.0,Strongly agree,3.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,Not sure 
46,56 and above,Educator,Female,Masters,Yes,Rarely,Somewhat improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience,Lack of human interaction;Reliability of information,Strongly supportive,2.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators,It should be implemented on a specific task ,It would have positive impact on academy performance of students 
47,26-35,Educator,Male,PHD,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No idea ,Over reliance on technology 
48,46-55,Educator,Male,PHD,Yes,Weekly,Somewhat improved,1.0,Strongly agree,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Academic integrity;Job displacement for educators;Dependence on technology,No idea ,It would improve student learning 
49,18-25,Student,Male,Masters,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks,Academic integrity;Job displacement for educators;Dependence on technology,I can't think far ,Improve student learning 
50,36-45,Student,Female,PHD,Yes,Monthly,Somewhat improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Nope ,Improve academic performance of students 
51,56 and above,Educator,Male,Masters,No,Never,No change,3.0,Strongly disagree,5.0,I don't think so ,Never used it ,Strongly unsupportive,5.0,5.0,Over reliance on technology ,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,It should not be used ,It should not be integrated 
52,36-45,Student,Female,PHD,No,Never,No change,3.0,Strongly disagree,5.0,None ,Reliability of information;Privacy concerns,Strongly unsupportive,5.0,5.0,It would promote laziness ,Academic integrity,No idea ,It would have negative impact on students 
53,18-25,Student,Female,Degree,No,Never,No change,1.0,Neutral,3.0,Personalized learning experience;Accessibility to diverse resources,Never used it ,Neutral,3.0,3.0,Can't tell ,Academic integrity;Dependence on technology,User education ,It might be helpful 
54,26-35,Student,Female,PHD,No,Weekly,No change,2.0,Neutral,1.0,Increased engagement in learning;Personalized learning experience,Lack of human interaction;Reliability of information,Supportive,3.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Job displacement for educators,,
55,36-45,Educator,Male,Masters,Yes,Daily,Somewhat improved,3.0,Agree,4.0,,,,,,,,,
56,36-45,Educator,Female,Masters,,Rarely,Significantly improved,2.0,Agree,1.0,Improved understanding of subjects;Accessibility to diverse resources,Technical issues;Privacy concerns,Strongly unsupportive,2.0,2.0,Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Dependence on technology,,
57,18-25,Student,Male,Degree,Yes,Weekly,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Job displacement for educators;Dependence on technology,,
58,46-55,Educator,Female,Masters,Yes,Daily,Significantly improved,1.0,Strongly agree,2.0,Improved understanding of subjects;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Facilitates student engagement,Academic integrity;Dependence on technology,,Nope 
59,26-35,Student,Female,PHD,Yes,Monthly,Somewhat improved,1.0,Neutral,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Facilitates student engagement,Academic integrity;Dependence on technology,,No 
60,18-25,Student,Female,Degree,Yes,Daily,Significantly improved,1.0,Strongly agree,2.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,2.0,1.0,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,No 
61,26-35,Student,Male,PHD,Yes,Daily,Somewhat improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Dependence on technology,No ,No 
62,36-45,Student,Male,Degree,Yes,Daily,Significantly improved,2.0,Disagree,2.0,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Technical issues,Supportive,1.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Academic integrity,Ensuring responsible use of AI in education is needed since AI has ,
63,18-25,Student,Male,Degree,Yes,Weekly,Significantly improved,1.0,Neutral,2.0,Improved understanding of subjects,Reliability of information,Neutral,3.0,2.0,Enhances personalized learning,Academic integrity,,
64,26-35,Educator,Female,Masters,Yes,Daily,Significantly improved,2.0,Agree,1.0,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Job displacement for educators,Government regulation on it usage,Proper education on ethic of AI
65,18-25,Student,Male,PHD,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Facilitates student engagement,Academic integrity;Dependence on technology,,Hello world 
66,36-45,Student,Female,Masters,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Yes ,It would be helpful 
67,46-55,Educator,Female,PHD,,Daily,Significantly improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,
68,56 and above,Educator,Female,Masters,Yes,Rarely,Somewhat improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,
69,18-25,Student,Female,Degree,No,Never,Significantly worsened,3.0,Neutral,5.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Unsupportive,3.0,3.0,Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Job displacement for educators,,
70,36-45,Student,Female,Masters,Yes,Rarely,Somewhat improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,Yes 
71,56 and above,Educator,Male,Masters,Yes,Daily,Somewhat improved,2.0,Agree,2.0,Personalized learning experience,Technical issues;Reliability of information;Privacy concerns,Supportive,2.0,2.0,Facilitates student engagement,Job displacement for educators,,
72,18-25,Student,Male,PHD,Yes,Daily,Significantly improved,1.0,Neutral,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,It should be implemented on domain basis,It would be helpful 
73,26-35,Student,Female,PHD,Yes,Weekly,Somewhat improved,2.0,Neutral,2.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,1.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Academic integrity;Job displacement for educators;Dependence on technology,It should be implemented ethically ,It's a good idea 
74,46-55,Educator,Female,Masters,Yes,Rarely,Somewhat improved,2.0,Strongly agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,Nope ,Nope 
75,36-45,Student,Male,Masters,,Rarely,Somewhat improved,1.0,Strongly disagree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,Nope ,It would be great for students studies 
76,36-45,Educator,Female,Degree,No,Weekly,Somewhat improved,1.0,Strongly agree,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,No idea ,It should be incorporated into the curriculum 
77,36-45,Student,Female,PHD,Yes,Monthly,Somewhat improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,No 
78,56 and above,Educator,Female,PHD,No,Never,Significantly worsened,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,Nope ,Naa 
79,46-55,Educator,Male,Masters,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Not ,Nope 
80,36-45,Student,Female,Masters,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Not sure ,No 
81,26-35,Educator,Female,PHD,Yes,Weekly,Somewhat improved,2.0,Neutral,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,Nah,No idea 
82,18-25,Student,Female,Degree,Yes,Daily,Somewhat improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,No ,No idea 
83,18-25,Student,Female,Degree,Yes,Daily,Significantly improved,1.0,Agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Privacy concerns,Supportive,2.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,All their sites are not free some of us want to use them but when we find out that we need pay before using it then it discourages us,It should be made available to all students to learn how to use it in order to access it
