Timestamp,1. What is your age?,2. What is your role in the educational sector?,3. What is your gender?,4. What is your current academic level?,"5. Are you aware of the use of generative AI (e.g., ChatGPT, Gemini, Grammarly, QuillBot) in educational settings?","6. How frequently do you use generative AI tools (e.g., Gemini, Grammarly, ChatGPT, AI tutors) in your studies or teaching?",7. How has the use of generative AI technology affected your learning or teaching experience?,8. How effective do you find AI-generated educational content in helping you understand complex subjects?,9. Do you believe AI-generated content enhances your critical thinking and problem-solving skills?,10. How do you rate the quality of AI-generated educational content compared to traditional educational resources?,10. What benefits have you experienced with the integration of AI-generated educational content? (Select all that apply),11. What challenges have you encountered with AI-generated educational content? (Select all that apply),12. How supportive are you of further integrating AI-generated educational content into the curriculum?,"13. How familiar are you with generative AI technology (e.g., ChatGPT, AI content generators)?",14. How would you rate your overall attitude towards the use of generative AI in education?,15. What benefits do you perceive generative AI could bring to the educational process? (Select all that apply),16. What concerns do you have about the use of generative AI in education? (Select all that apply),17. What recommendations do you have for improving the use of generative AI in education?,18. Please provide any additional comments or suggestions regarding the use of generative AI in Ghana’s tertiary education.
2024/07/10 9:31:03 AM MDT,18-25,Student,Female,Degree,Yes,Daily,Somewhat improved,2,Strongly agree,3,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Privacy concerns,Supportive,2,3,Enhances personalized learning;Improves efficiency in administrative tasks,Academic integrity;Job displacement for educators;Dependence on technology,very  good,
2024/07/10 10:21:54 AM MDT,18-25,Student,Male,Degree,Yes,Daily,Somewhat improved,2,Neutral,3,Improved understanding of subjects;Accessibility to diverse resources;Search results are precise and concise ,Reliability of information;Privacy concerns,Supportive,3,3,Improves efficiency in administrative tasks;Provides innovative teaching tools,Academic integrity;Job displacement for educators;Dependence on technology,,Students at times abuse the use AI. They don't even read through it generated content 
2024/07/10 10:30:47 AM MDT,18-25,Student,Female,Degree,Yes,Daily,Significantly improved,2,Agree,2,Improved understanding of subjects;Accessibility to diverse resources,Reliability of information,Strongly supportive,1,1,Improves efficiency in administrative tasks;Provides innovative teaching tools,Dependence on technology,,
2024/07/10 11:21:00 AM MDT,18-25,Student,Male,Degree,Yes,Rarely,Somewhat improved,3,Neutral,2,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Neutral,1,4,Enhances personalized learning,Privacy issues;Academic integrity,"Improve on answered they give to responses, most of the time their responses are not entirely accurate. ","It’s a good thing but Students should realized that not every information given by the AI is entirely accurate and should find a way to filter their search results to suit their questions, "
2024/07/10 1:27:27 PM MDT,18-25,Student,Male,Degree,Yes,Monthly,Somewhat improved,2,Neutral,2,Improved understanding of subjects,Lack of human interaction,Neutral,2,4,Provides innovative teaching tools,Job displacement for educators,,
2024/07/10 2:29:48 PM MDT,18-25,Student,Male,Degree,Yes,Daily,Significantly improved,1,Agree,2,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience,Reliability of information;Privacy concerns,Strongly supportive,1,2,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Dependence on technology,,
2024/07/10 6:50:08 PM MDT,18-25,Student,Male,Degree,Yes,Daily,Somewhat improved,1,Agree,2,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Privacy concerns,Supportive,2,2,Enhances personalized learning;Provides innovative teaching tools,Privacy issues;Dependence on technology,More further studies on other courses like  cultures,There should be abundant research in different diversities
2024/07/10 8:02:54 PM MDT,18-25,Student,Male,Degree,Yes,Weekly,Somewhat improved,5,Agree,2,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Technical issues,Strongly supportive,3,3,Enhances personalized learning;Facilitates student engagement,Academic integrity;Dependence on technology,none,none
2024/07/11 2:46:22 AM MDT,18-25,Student,Male,Degree,Yes,Daily,Somewhat improved,1,Agree,1,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information,Neutral,1,1,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Dependence on technology,Public education on AI essentials,
2024/07/11 3:03:30 AM MDT,18-25,Student,Male,Degree,Yes,Weekly,Significantly improved,1,Strongly agree,1,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues,Strongly supportive,1,1,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Job displacement for educators;Dependence on technology,"I don’t have any suggestion yet but I am of the belief that AI is going to get better with time.
If only and only AI could be offline",
2024/07/13 5:55:17 AM MDT,26-35,Student,Male,Degree,Yes,Daily,Somewhat improved,1,Agree,1,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,3,2,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,,There is much similarity with your varables.
2024/07/13 6:02:17 AM MDT,18-25,Student,Male,Degree,Yes,Daily,Significantly improved,1,Disagree,1,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1,1,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,It should fine tuned for education only,Educational Institutions should integrate genAI in the tertiary sector
2024/07/13 6:06:34 AM MDT,36-45,Educator,Female,Masters,Yes,Weekly,Significantly improved,1,Strongly agree,1,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,1,1,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity,Al application should be fine tune for a particular task,It would enhance academic performance
2024/07/13 6:10:51 AM MDT,46-55,Educator,Male,Masters,Yes,Daily,Somewhat improved,2,Strongly agree,1,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience,Reliability of information;Privacy concerns,Neutral,2,2,Improves efficiency in administrative tasks;Provides innovative teaching tools,Academic integrity;Dependence on technology,It should be used responsibly and ethically,It would enhanced teaching and learning
2024/07/13 6:17:25 AM MDT,56 and above,Educator,Female,Masters,Yes,Weekly,Somewhat improved,3,Neutral,3,Accessibility to diverse resources,Technical issues;Reliability of information,Neutral,1,3,Over dependence on technology,Academic integrity;Job displacement for educators;Dependence on technology,It should follow academic policies,It  might help
2024/07/13 6:23:23 AM MDT,26-35,Non teaching staff,Female,HND,No,Never,No change,3,Neutral,3,No idea,Privacy concerns,Neutral,4,2,Over reliance on technology,Privacy issues;Dependence on technology,It be should be user friendly,"If properly integrated, it might improve academic performance"
2024/07/13 6:27:08 AM MDT,18-25,Student,Male,PHD,Yes,Daily,Significantly improved,1,Strongly agree,1,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1,1,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,It should be used ethically
2024/07/13 6:31:45 AM MDT,46-55,Educator,Female,Masters,Yes,Weekly,Somewhat improved,2,Agree,3,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,2,2,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Dependence on technology,Nope,It should be used responsibly
2024/07/13 6:35:26 AM MDT,56 and above,Educator,Female,Masters,No,Never,No change,3,Strongly disagree,5,,Reliability of information;Privacy concerns,Strongly unsupportive,5,5,Over reliance on technology,Dependence on technology,It should not be integrated,Over reliance on technology by students
2024/07/13 6:41:27 AM MDT,36-45,Educator,Male,PHD,Yes,Rarely,Somewhat improved,2,Agree,3,Increased engagement in learning;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,1,1,Enhances personalized learning;Improves efficiency in administrative tasks;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,It should fine tune on a specific task,It would enhance teaching and learning
2024/07/13 6:44:43 AM MDT,26-35,Student,Male,Degree,Yes,Weekly,Significantly improved,2,Agree,1,Improved understanding of subjects;Increased engagement in learning,,Strongly supportive,1,1,Improves efficiency in administrative tasks;Provides innovative teaching tools,Academic integrity;Dependence on technology,It should be build based a specific subject,"AI is here to stay and improve our life, so it should be embraced"
2024/07/13 6:47:52 AM MDT,46-55,Educator,Female,Masters,Yes,Daily,Somewhat improved,2,Agree,2,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,1,1,Enhances personalized learning;Facilitates student engagement,Academic integrity;Dependence on technology,No idea,It would enhance effective teaching and learning
2024/07/13 6:50:46 AM MDT,18-25,Student,Female,Degree,Yes,Monthly,No change,2,Neutral,2,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information,Neutral,2,3,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Dependence on technology;It go kill human ,no no,
2024/07/13 6:51:26 AM MDT,26-35,Student,Male,Degree,,,,,,,,,,,,,,,
2024/07/13 6:51:58 AM MDT,56 and above,Educator,Female,Masters,No,Never,No change,3,Neutral,3,No idea,No idea,Neutral,5,5,No,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,It should not be use,It is going to affect critical thinking amount students 
2024/07/13 6:52:37 AM MDT,46-55,Educator,Male,PHD,No,Monthly,Somewhat worsened,4,Disagree,4,Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Neutral,4,4,Facilitates student engagement,Privacy issues;Academic integrity,,
2024/07/13 6:54:02 AM MDT,56 and above,Non teaching staff,Male,Masters,Yes,Weekly,Significantly improved,2,Agree,3,Personalized learning experience,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Supportive,3,3,Provides innovative teaching tools,Job displacement for educators,,
2024/07/13 6:54:46 AM MDT,26-35,Student,Female,PHD,,,,,,,,,,,,,,,
2024/07/13 6:55:06 AM MDT,18-25,Student,Male,Degree,Yes,Weekly,Somewhat improved,2,Agree,2,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1,2,Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Academic integrity,There should ethics on the use of AI,It is going to improve teaching and learning
2024/07/13 6:57:31 AM MDT,36-45,Educator,Female,PHD,Yes,Weekly,Somewhat improved,1,Agree,3,Increased engagement in learning;Personalized learning experience,Reliability of information;Privacy concerns,Strongly supportive,1,1,Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators,It should be fine tune on a specific subject,It would improve teaching and learning
2024/07/13 7:05:34 AM MDT,46-55,Educator,Female,PHD,Yes,Rarely,Somewhat improved,2,Neutral,3,Increased engagement in learning;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,2,1,Enhances personalized learning;Provides innovative teaching tools,Academic integrity;Dependence on technology,Implement policies ,It would save time 
2024/07/13 7:08:23 AM MDT,18-25,Educator,Female,Masters,Yes,Daily,Significantly improved,2,Disagree,5,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,1,2,Enhances personalized learning;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No,It would have a positive impact 
2024/07/13 7:11:49 AM MDT,56 and above,Educator,Female,Masters,No,Never,No change,3,Neutral,5,Increased engagement in learning;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,5,3,Enhances personalized learning;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No,It should not be integrated
2024/07/13 11:56:44 AM MDT,46-55,Educator,Female,Masters,Yes,Rarely,Somewhat improved,3,Disagree,4,Somehow ,Reliability of information,Neutral,2,3,Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Dependence on technology,No idea ,It might help 
2024/07/13 11:59:27 AM MDT,18-25,Student,Female,PHD,Yes,Daily,Significantly improved,1,Strongly agree,2,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1,1,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,,It would enhance teaching and learning 
2024/07/13 12:02:12 PM MDT,18-25,Student,Male,PHD,,Monthly,Somewhat improved,1,Strongly agree,3,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1,1,Improves efficiency in administrative tasks;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,Not sure 
2024/07/13 12:05:14 PM MDT,56 and above,Educator,Female,Masters,Yes,Rarely,Somewhat improved,1,Strongly agree,1,Increased engagement in learning;Personalized learning experience,Lack of human interaction;Reliability of information,Strongly supportive,2,1,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators,It should be implemented on a specific task ,It would have positive impact on academy performance of students 
2024/07/13 12:08:21 PM MDT,26-35,Educator,Male,PHD,Yes,Daily,Significantly improved,1,Strongly agree,1,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1,1,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No idea ,Over reliance on technology 
2024/07/13 12:25:11 PM MDT,46-55,Educator,Male,PHD,Yes,Weekly,Somewhat improved,1,Strongly agree,2,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1,1,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Academic integrity;Job displacement for educators;Dependence on technology,No idea ,It would improve student learning 
2024/07/13 12:28:42 PM MDT,18-25,Student,Male,Masters,Yes,Daily,Significantly improved,1,Strongly agree,1,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1,1,Enhances personalized learning;Improves efficiency in administrative tasks,Academic integrity;Job displacement for educators;Dependence on technology,I can't think far ,Improve student learning 
2024/07/13 12:39:59 PM MDT,36-45,Student,Female,PHD,Yes,Monthly,Somewhat improved,1,Strongly agree,1,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1,1,Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Nope ,Improve academic performance of students 
2024/07/13 12:43:57 PM MDT,56 and above,Educator,Male,Masters,No,Never,No change,3,Strongly disagree,5,I don't think so ,Never used it ,Strongly unsupportive,5,5,Over reliance on technology ,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,It should not be used ,It should not be integrated 
2024/07/13 12:56:05 PM MDT,36-45,Student,Female,PHD,No,Never,No change,3,Strongly disagree,5,None ,Reliability of information;Privacy concerns,Strongly unsupportive,5,5,It would promote laziness ,Academic integrity,No idea ,It would have negative impact on students 
2024/07/13 1:00:00 PM MDT,18-25,Student,Female,Degree,No,Never,No change,1,Neutral,3,Personalized learning experience;Accessibility to diverse resources,Never used it ,Neutral,3,3,Can't tell ,Academic integrity;Dependence on technology,User education ,It might be helpful 
2024/07/13 1:27:18 PM MDT,26-35,Student,Female,PHD,No,Weekly,No change,2,Neutral,1,Increased engagement in learning;Personalized learning experience,Lack of human interaction;Reliability of information,Supportive,3,2,Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Job displacement for educators,,
2024/07/13 1:48:30 PM MDT,36-45,Educator,Male,Masters,Yes,Daily,Somewhat improved,3,Agree,4,,,,,,,,,
2024/07/13 1:49:29 PM MDT,36-45,Educator,Female,Masters,,Rarely,Significantly improved,2,Agree,1,Improved understanding of subjects;Accessibility to diverse resources,Technical issues;Privacy concerns,Strongly unsupportive,2,2,Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Dependence on technology,,
2024/07/13 10:25:27 PM MDT,18-25,Student,Male,Degree,Yes,Weekly,Significantly improved,1,Strongly agree,1,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues,Strongly supportive,1,1,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Job displacement for educators;Dependence on technology,,
2024/07/15 12:29:34 AM MDT,46-55,Educator,Female,Masters,Yes,Daily,Significantly improved,1,Strongly agree,2,Improved understanding of subjects;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1,1,Enhances personalized learning;Facilitates student engagement,Academic integrity;Dependence on technology,,Nope 
2024/07/15 12:30:56 AM MDT,26-35,Student,Female,PHD,Yes,Monthly,Somewhat improved,1,Neutral,2,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1,1,Enhances personalized learning;Facilitates student engagement,Academic integrity;Dependence on technology,,No 
2024/07/15 12:32:42 AM MDT,18-25,Student,Female,Degree,Yes,Daily,Significantly improved,1,Strongly agree,2,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,2,1,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,No 
2024/07/15 12:34:33 AM MDT,26-35,Student,Male,PHD,Yes,Daily,Somewhat improved,1,Strongly agree,1,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1,1,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Dependence on technology,No ,No 
2024/07/15 5:26:37 AM MDT,36-45,Student,Male,Degree,Yes,Daily,Significantly improved,2,Disagree,2,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Technical issues,Supportive,1,2,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Academic integrity,Ensuring responsible use of AI in education is needed since AI has ,
2024/07/15 6:26:42 AM MDT,18-25,Student,Male,Degree,Yes,Weekly,Significantly improved,1,Neutral,2,Improved understanding of subjects,Reliability of information,Neutral,3,2,Enhances personalized learning,Academic integrity,,
2024/07/15 6:58:15 AM MDT,26-35,Educator,Female,Masters,Yes,Daily,Significantly improved,2,Agree,1,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1,1,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Job displacement for educators,Government regulation on it usage,Proper education on ethic of AI
2024/07/15 7:10:45 AM MDT,18-25,Student,Male,PHD,Yes,Daily,Significantly improved,1,Strongly agree,1,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1,1,Improves efficiency in administrative tasks;Facilitates student engagement,Academic integrity;Dependence on technology,,Hello world 
2024/07/15 7:15:00 AM MDT,36-45,Student,Female,Masters,Yes,Daily,Significantly improved,1,Strongly agree,1,Improved understanding of subjects;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1,1,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Yes ,It would be helpful 
2024/07/15 7:17:50 AM MDT,46-55,Educator,Female,PHD,,Daily,Significantly improved,1,Strongly agree,1,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1,1,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,
2024/07/15 7:23:30 AM MDT,56 and above,Educator,Female,Masters,Yes,Rarely,Somewhat improved,1,Strongly agree,1,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1,1,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,
2024/07/15 7:26:30 AM MDT,18-25,Student,Female,Degree,No,Never,Significantly worsened,3,Neutral,5,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Unsupportive,3,3,Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Job displacement for educators,,
2024/07/15 7:30:17 AM MDT,36-45,Student,Female,Masters,Yes,Rarely,Somewhat improved,1,Strongly agree,1,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1,1,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,Yes 
2024/07/15 7:31:31 AM MDT,56 and above,Educator,Male,Masters,Yes,Daily,Somewhat improved,2,Agree,2,Personalized learning experience,Technical issues;Reliability of information;Privacy concerns,Supportive,2,2,Facilitates student engagement,Job displacement for educators,,
2024/07/15 8:34:19 AM MDT,18-25,Student,Male,PHD,Yes,Daily,Significantly improved,1,Neutral,2,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1,1,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,It should be implemented on domain basis,It would be helpful 
2024/07/15 8:36:51 AM MDT,26-35,Student,Female,PHD,Yes,Weekly,Somewhat improved,2,Neutral,2,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,1,2,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Academic integrity;Job displacement for educators;Dependence on technology,It should be implemented ethically ,It's a good idea 
2024/07/15 8:38:17 AM MDT,46-55,Educator,Female,Masters,Yes,Rarely,Somewhat improved,2,Strongly agree,2,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1,1,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,Nope ,Nope 
2024/07/15 8:40:34 AM MDT,36-45,Student,Male,Masters,,Rarely,Somewhat improved,1,Strongly disagree,1,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1,1,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,Nope ,It would be great for students studies 
